sample_id	slot	source_field	discovery_uri	generation	byte_size	checksum_algorithm	checksum_value	created_at	updated_at	immutable_read_uri	metageneration	crc32c_base64	md5_base64	etag
HG00097	combined_bed	cpg_combined_bed	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/4944aeb1-faf3-49a0-995e-93454b836d2f/call-CpgPileup/HG00097.combined.bed.gz	1777748016475903	334868580	md5_base64	L+IPlRWd5bNfn8GGX0gasQ==	2026-05-02T18:53:36.479Z	2026-06-02T20:33:20.162Z	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/4944aeb1-faf3-49a0-995e-93454b836d2f/call-CpgPileup/HG00097.combined.bed.gz?generation=1777748016475903	2	+OPsPw==	L+IPlRWd5bNfn8GGX0gasQ==	CP/dlrijm5QDEAI=
HG00097	combined_bed_index	independently_verified_combined_bed_index	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/4944aeb1-faf3-49a0-995e-93454b836d2f/call-CpgPileup/HG00097.combined.bed.gz.tbi	1777748004803103	1684181	md5_base64	JAj0OCPxIIXYXbn/MfkEIg==	2026-05-02T18:53:24.806Z	2026-06-03T15:48:12.757Z	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/4944aeb1-faf3-49a0-995e-93454b836d2f/call-CpgPileup/HG00097.combined.bed.gz.tbi?generation=1777748004803103	3	0motCQ==	JAj0OCPxIIXYXbn/MfkEIg==	CJ+kzrKjm5QDEAM=
HG00097	hap1_bed	cpg_hap1_bed	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/4944aeb1-faf3-49a0-995e-93454b836d2f/call-CpgPileup/HG00097.hap1.bed.gz	1777748028405778	296691390	md5_base64	h8QoE/2fwhqmvOrZ2cQDJQ==	2026-05-02T18:53:48.410Z	2026-06-03T14:54:57.911Z	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/4944aeb1-faf3-49a0-995e-93454b836d2f/call-CpgPileup/HG00097.hap1.bed.gz?generation=1777748028405778	3	5n4ytg==	h8QoE/2fwhqmvOrZ2cQDJQ==	CJLw7r2jm5QDEAM=
HG00097	hap1_bed_index	cpg_hap1_bed_idx	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/4944aeb1-faf3-49a0-995e-93454b836d2f/call-CpgPileup/HG00097.hap1.bed.gz.tbi	1777748044506344	1647467	md5_base64	318vOAD3zpRTeHsyvfaMxg==	2026-05-02T18:54:04.509Z	2026-06-03T15:34:09.159Z	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/4944aeb1-faf3-49a0-995e-93454b836d2f/call-CpgPileup/HG00097.hap1.bed.gz.tbi?generation=1777748044506344	3	0XyI/Q==	318vOAD3zpRTeHsyvfaMxg==	COjJxcWjm5QDEAM=
HG00097	hap2_bed	cpg_hap2_bed	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/4944aeb1-faf3-49a0-995e-93454b836d2f/call-CpgPileup/HG00097.hap2.bed.gz	1777748042587961	296601280	md5_base64	s89Xmf1pe5z20+IqOyjSoA==	2026-05-02T18:54:02.592Z	2026-06-03T15:32:06.207Z	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/4944aeb1-faf3-49a0-995e-93454b836d2f/call-CpgPileup/HG00097.hap2.bed.gz?generation=1777748042587961	3	G9oKGA==	s89Xmf1pe5z20+IqOyjSoA==	CLm+0MSjm5QDEAM=
HG00097	hap2_bed_index	cpg_hap2_bed_idx	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/4944aeb1-faf3-49a0-995e-93454b836d2f/call-CpgPileup/HG00097.hap2.bed.gz.tbi	1777748006729678	1647456	md5_base64	YsrW5QEvhhvQav8KPj9xmQ==	2026-05-02T18:53:26.733Z	2026-06-02T20:27:02.830Z	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/4944aeb1-faf3-49a0-995e-93454b836d2f/call-CpgPileup/HG00097.hap2.bed.gz.tbi?generation=1777748006729678	2	ZSOPPg==	YsrW5QEvhhvQav8KPj9xmQ==	CM7vw7Ojm5QDEAI=
HG00099	combined_bed	cpg_combined_bed	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/ee422c06-35b7-41bd-98cb-7a50d7641828/call-CpgPileup/HG00099.combined.bed.gz	1777750366647572	331116040	md5_base64	J7qISxA/TQLzqKoa50Nb/w==	2026-05-02T19:32:46.652Z	2026-06-03T16:03:59.754Z	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/ee422c06-35b7-41bd-98cb-7a50d7641828/call-CpgPileup/HG00099.combined.bed.gz?generation=1777750366647572	3	CWnqvw==	J7qISxA/TQLzqKoa50Nb/w==	CJTq6Zism5QDEAM=
HG00099	combined_bed_index	independently_verified_combined_bed_index	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/ee422c06-35b7-41bd-98cb-7a50d7641828/call-CpgPileup/HG00099.combined.bed.gz.tbi	1777750379443682	1683700	md5_base64	falfO7gEhxMnL9p5SuWhoA==	2026-05-02T19:32:59.447Z	2026-06-03T15:11:03.655Z	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/ee422c06-35b7-41bd-98cb-7a50d7641828/call-CpgPileup/HG00099.combined.bed.gz.tbi?generation=1777750379443682	3	b+NgsQ==	falfO7gEhxMnL9p5SuWhoA==	COLr9p6sm5QDEAM=
HG00099	hap1_bed	cpg_hap1_bed	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/ee422c06-35b7-41bd-98cb-7a50d7641828/call-CpgPileup/HG00099.hap1.bed.gz	1777750394721582	292843462	md5_base64	H65NOeElSotMT36xW8zDyA==	2026-05-02T19:33:14.731Z	2026-06-03T15:37:04.176Z	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/ee422c06-35b7-41bd-98cb-7a50d7641828/call-CpgPileup/HG00099.hap1.bed.gz?generation=1777750394721582	3	iK66YA==	H65NOeElSotMT36xW8zDyA==	CK6qm6asm5QDEAM=
HG00099	hap1_bed_index	cpg_hap1_bed_idx	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/ee422c06-35b7-41bd-98cb-7a50d7641828/call-CpgPileup/HG00099.hap1.bed.gz.tbi	1777750350044716	1651508	md5_base64	WKaV46uAnWArpTfqr+OsOQ==	2026-05-02T19:32:30.054Z	2026-06-02T20:05:57.713Z	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/ee422c06-35b7-41bd-98cb-7a50d7641828/call-CpgPileup/HG00099.hap1.bed.gz.tbi?generation=1777750350044716	2	PANpNw==	WKaV46uAnWArpTfqr+OsOQ==	CKy89JCsm5QDEAI=
