sample_id	slot	source_field	discovery_uri	generation	byte_size	checksum_algorithm	checksum_value	created_at	updated_at	immutable_read_uri	metageneration	crc32c_base64	md5_base64	etag
HG00099	hap2_bed	cpg_hap2_bed	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/ee422c06-35b7-41bd-98cb-7a50d7641828/call-CpgPileup/HG00099.hap2.bed.gz	1777750377592785	293025975	md5_base64	dKbd61TxRaRYkgo8xVZrvA==	2026-05-02T19:32:57.597Z	2026-06-03T15:00:02.731Z	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/ee422c06-35b7-41bd-98cb-7a50d7641828/call-CpgPileup/HG00099.hap2.bed.gz?generation=1777750377592785	3	4v8vJA==	dKbd61TxRaRYkgo8xVZrvA==	CNHvhZ6sm5QDEAM=
HG00099	hap2_bed_index	cpg_hap2_bed_idx	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/ee422c06-35b7-41bd-98cb-7a50d7641828/call-CpgPileup/HG00099.hap2.bed.gz.tbi	1777750351953509	1651593	md5_base64	Rvc30H8FfcB/D5AuHopdqQ==	2026-05-02T19:32:31.957Z	2026-06-03T15:44:09.430Z	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/ee422c06-35b7-41bd-98cb-7a50d7641828/call-CpgPileup/HG00099.hap2.bed.gz.tbi?generation=1777750351953509	3	mVNrVg==	Rvc30H8FfcB/D5AuHopdqQ==	COX86JGsm5QDEAM=
HG00126	combined_bed	cpg_combined_bed	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/6ca6fdf8-6014-40c2-a05c-ac53ab32c206/call-CpgPileup/HG00126.combined.bed.gz	1777748753823241	327334091	md5_base64	Z68AYyw3LyP6Ew3USSJ70w==	2026-05-02T19:05:53.834Z	2026-06-02T20:36:16.646Z	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/6ca6fdf8-6014-40c2-a05c-ac53ab32c206/call-CpgPileup/HG00126.combined.bed.gz?generation=1777748753823241	2	h8Xk1Q==	Z68AYyw3LyP6Ew3USSJ70w==	CIns4pemm5QDEAI=
HG00126	combined_bed_index	independently_verified_combined_bed_index	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/6ca6fdf8-6014-40c2-a05c-ac53ab32c206/call-CpgPileup/HG00126.combined.bed.gz.tbi	1777748741330497	1694847	md5_base64	v62azYXkm74LxyCKCwoodQ==	2026-05-02T19:05:41.333Z	2026-06-03T14:54:06.556Z	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/6ca6fdf8-6014-40c2-a05c-ac53ab32c206/call-CpgPileup/HG00126.combined.bed.gz.tbi?generation=1777748741330497	3	+DZ37g==	v62azYXkm74LxyCKCwoodQ==	CMGs6JGmm5QDEAM=
HG00126	hap1_bed	cpg_hap1_bed	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/6ca6fdf8-6014-40c2-a05c-ac53ab32c206/call-CpgPileup/HG00126.hap1.bed.gz	1777748769011934	278685357	md5_base64	pRsrmZh1RiahqdKlGJV2hg==	2026-05-02T19:06:09.015Z	2026-06-03T16:04:01.521Z	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/6ca6fdf8-6014-40c2-a05c-ac53ab32c206/call-CpgPileup/HG00126.hap1.bed.gz?generation=1777748769011934	3	gj7fqw==	pRsrmZh1RiahqdKlGJV2hg==	CN7xgZ+mm5QDEAM=
HG00126	hap1_bed_index	cpg_hap1_bed_idx	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/6ca6fdf8-6014-40c2-a05c-ac53ab32c206/call-CpgPileup/HG00126.hap1.bed.gz.tbi	1777748770912568	1565217	md5_base64	akAVgw4JXHk4DVC6PeQ/tw==	2026-05-02T19:06:10.916Z	2026-06-03T15:00:00.403Z	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/6ca6fdf8-6014-40c2-a05c-ac53ab32c206/call-CpgPileup/HG00126.hap1.bed.gz.tbi?generation=1777748770912568	3	Rs/Z8A==	akAVgw4JXHk4DVC6PeQ/tw==	CLjy9Z+mm5QDEAM=
HG00126	hap2_bed	cpg_hap2_bed	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/6ca6fdf8-6014-40c2-a05c-ac53ab32c206/call-CpgPileup/HG00126.hap2.bed.gz	1777748749146359	278581265	md5_base64	AHgOBwRxH2QQP7DCrmIANw==	2026-05-02T19:05:49.150Z	2026-06-03T16:00:19.926Z	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/6ca6fdf8-6014-40c2-a05c-ac53ab32c206/call-CpgPileup/HG00126.hap2.bed.gz?generation=1777748749146359	3	aJP1GA==	AHgOBwRxH2QQP7DCrmIANw==	CPexxZWmm5QDEAM=
HG00126	hap2_bed_index	cpg_hap2_bed_idx	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/6ca6fdf8-6014-40c2-a05c-ac53ab32c206/call-CpgPileup/HG00126.hap2.bed.gz.tbi	1777748755700223	1565527	md5_base64	i6BfHrpY768sii9NouSKNg==	2026-05-02T19:05:55.703Z	2026-06-02T19:51:07.544Z	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/6ca6fdf8-6014-40c2-a05c-ac53ab32c206/call-CpgPileup/HG00126.hap2.bed.gz.tbi?generation=1777748755700223	2	5r5sXA==	i6BfHrpY768sii9NouSKNg==	CP+z1Zimm5QDEAI=
HG00128	combined_bed	cpg_combined_bed	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/3b09d084-6341-4fb5-8df1-e436618ddc98/call-CpgPileup/HG00128.combined.bed.gz	1777747624220185	332394918	md5_base64	u1UkgmBdLmdnxU3zgFvnGA==	2026-05-02T18:47:04.228Z	2026-06-02T20:33:07.950Z	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/3b09d084-6341-4fb5-8df1-e436618ddc98/call-CpgPileup/HG00128.combined.bed.gz?generation=1777747624220185	2	CF1UDg==	u1UkgmBdLmdnxU3zgFvnGA==	CJmskf2hm5QDEAI=
HG00128	combined_bed_index	independently_verified_combined_bed_index	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/3b09d084-6341-4fb5-8df1-e436618ddc98/call-CpgPileup/HG00128.combined.bed.gz.tbi	1777747600576654	1684103	md5_base64	iHCn0O/qkYC1R7dbJgUnuQ==	2026-05-02T18:46:40.580Z	2026-06-02T19:53:01.245Z	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/3b09d084-6341-4fb5-8df1-e436618ddc98/call-CpgPileup/HG00128.combined.bed.gz.tbi?generation=1777747600576654	2	epkdPQ==	iHCn0O/qkYC1R7dbJgUnuQ==	CI6h7vGhm5QDEAI=
HG00128	hap1_bed	cpg_hap1_bed	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/3b09d084-6341-4fb5-8df1-e436618ddc98/call-CpgPileup/HG00128.hap1.bed.gz	1777747610136392	293117803	md5_base64	Ft2Cx4nWPff4YxrjxlwWRQ==	2026-05-02T18:46:50.139Z	2026-06-03T14:42:06.838Z	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/3b09d084-6341-4fb5-8df1-e436618ddc98/call-CpgPileup/HG00128.hap1.bed.gz?generation=1777747610136392	3	9YMCFQ==	Ft2Cx4nWPff4YxrjxlwWRQ==	CMjetfahm5QDEAM=
HG00128	hap1_bed_index	cpg_hap1_bed_idx	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/3b09d084-6341-4fb5-8df1-e436618ddc98/call-CpgPileup/HG00128.hap1.bed.gz.tbi	1777747626215047	1642255	md5_base64	9z/lAj2MEoJR2sOHkOlslQ==	2026-05-02T18:47:06.219Z	2026-06-03T15:00:05.411Z	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/3b09d084-6341-4fb5-8df1-e436618ddc98/call-CpgPileup/HG00128.hap1.bed.gz.tbi?generation=1777747626215047	3	SVFPWQ==	9z/lAj2MEoJR2sOHkOlslQ==	CIeNi/6hm5QDEAM=
HG00128	hap2_bed	cpg_hap2_bed	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/3b09d084-6341-4fb5-8df1-e436618ddc98/call-CpgPileup/HG00128.hap2.bed.gz	1777747617468378	292482826	md5_base64	DYifsrb1y4WDHlgxdKAOog==	2026-05-02T18:46:57.472Z	2026-06-03T16:00:37.779Z	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/3b09d084-6341-4fb5-8df1-e436618ddc98/call-CpgPileup/HG00128.hap2.bed.gz?generation=1777747617468378	3	IbCjVw==	DYifsrb1y4WDHlgxdKAOog==	CNqf9fmhm5QDEAM=
HG00128	hap2_bed_index	cpg_hap2_bed_idx	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/3b09d084-6341-4fb5-8df1-e436618ddc98/call-CpgPileup/HG00128.hap2.bed.gz.tbi	1777747602505802	1641842	md5_base64	RPsQVmp505n7nEXC7A2h4g==	2026-05-02T18:46:42.509Z	2026-06-03T15:41:03.505Z	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/3b09d084-6341-4fb5-8df1-e436618ddc98/call-CpgPileup/HG00128.hap2.bed.gz.tbi?generation=1777747602505802	3	9Mut4A==	RPsQVmp505n7nEXC7A2h4g==	CMqA5PKhm5QDEAM=
HG00133	combined_bed	cpg_combined_bed	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/aaca93fb-01a9-4835-8632-f55c0bce277e/call-CpgPileup/HG00133.combined.bed.gz	1777748668712177	327015636	md5_base64	TGFqM8Fj4FBqzaAkJgz+TA==	2026-05-02T19:04:28.717Z	2026-06-03T15:58:02.378Z	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/aaca93fb-01a9-4835-8632-f55c0bce277e/call-CpgPileup/HG00133.combined.bed.gz?generation=1777748668712177	3	XZaWKA==	TGFqM8Fj4FBqzaAkJgz+TA==	CPGJmO+lm5QDEAM=
HG00133	combined_bed_index	independently_verified_combined_bed_index	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/aaca93fb-01a9-4835-8632-f55c0bce277e/call-CpgPileup/HG00133.combined.bed.gz.tbi	1777748670606461	1684153	md5_base64	OxQryW1XFd64EB5VwrWSTA==	2026-05-02T19:04:30.609Z	2026-06-02T19:47:06.166Z	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/aaca93fb-01a9-4835-8632-f55c0bce277e/call-CpgPileup/HG00133.combined.bed.gz.tbi?generation=1777748670606461	2	qmZF5w==	OxQryW1XFd64EB5VwrWSTA==	CP3Yi/Clm5QDEAI=
HG00133	hap1_bed	cpg_hap1_bed	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/aaca93fb-01a9-4835-8632-f55c0bce277e/call-CpgPileup/HG00133.hap1.bed.gz	1777748688352168	293146415	md5_base64	em3MGNi4xNQTZ/QnDC+kPw==	2026-05-02T19:04:48.355Z	2026-06-03T15:24:11.050Z	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/aaca93fb-01a9-4835-8632-f55c0bce277e/call-CpgPileup/HG00133.hap1.bed.gz?generation=1777748688352168	3	FuYrwQ==	em3MGNi4xNQTZ/QnDC+kPw==	CKjnxvilm5QDEAM=
HG00133	hap1_bed_index	cpg_hap1_bed_idx	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/aaca93fb-01a9-4835-8632-f55c0bce277e/call-CpgPileup/HG00133.hap1.bed.gz.tbi	1777748661856890	1661815	md5_base64	FN6P4jzeCb8PANH6zrXwSg==	2026-05-02T19:04:21.862Z	2026-06-02T20:36:30.178Z	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/aaca93fb-01a9-4835-8632-f55c0bce277e/call-CpgPileup/HG00133.hap1.bed.gz.tbi?generation=1777748661856890	2	nmujCw==	FN6P4jzeCb8PANH6zrXwSg==	CPrU9eulm5QDEAI=
HG00133	hap2_bed	cpg_hap2_bed	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/aaca93fb-01a9-4835-8632-f55c0bce277e/call-CpgPileup/HG00133.hap2.bed.gz	1777748678619314	293130725	md5_base64	sfN3dlGZO8TSdbpkzMjtpA==	2026-05-02T19:04:38.623Z	2026-06-02T19:46:22.022Z	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/aaca93fb-01a9-4835-8632-f55c0bce277e/call-CpgPileup/HG00133.hap2.bed.gz?generation=1777748678619314	2	IQGe2Q==	sfN3dlGZO8TSdbpkzMjtpA==	CLLh9POlm5QDEAI=
HG00133	hap2_bed_index	cpg_hap2_bed_idx	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/aaca93fb-01a9-4835-8632-f55c0bce277e/call-CpgPileup/HG00133.hap2.bed.gz.tbi	1777748680665625	1660327	md5_base64	s4f8ruVic8r53uJy3mLUtA==	2026-05-02T19:04:40.669Z	2026-06-02T20:14:48.683Z	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/aaca93fb-01a9-4835-8632-f55c0bce277e/call-CpgPileup/HG00133.hap2.bed.gz.tbi?generation=1777748680665625	2	HAVrPw==	s4f8ruVic8r53uJy3mLUtA==	CJnU8fSlm5QDEAI=
HG00140	combined_bed	cpg_combined_bed	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/6d4c37e4-f784-4a1a-8ef8-966dfc9e7886/call-CpgPileup/HG00140.combined.bed.gz	1777749790346234	357499606	md5_base64	6pxCoRpPAjfsUl/1gtEhXA==	2026-05-02T19:23:10.350Z	2026-06-03T15:42:19.598Z	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/6d4c37e4-f784-4a1a-8ef8-966dfc9e7886/call-CpgPileup/HG00140.combined.bed.gz?generation=1777749790346234	3	pNNf8w==	6pxCoRpPAjfsUl/1gtEhXA==	CPqXg4aqm5QDEAM=
HG00140	combined_bed_index	independently_verified_combined_bed_index	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/6d4c37e4-f784-4a1a-8ef8-966dfc9e7886/call-CpgPileup/HG00140.combined.bed.gz.tbi	1777749767690968	1695130	md5_base64	PTU7nI7tVoZ19O6i7FVijw==	2026-05-02T19:22:47.694Z	2026-06-03T15:32:03.988Z	gs://fc-fd42e80c-b41e-4e60-a9cf-b7c0ade168c4/submissions/a1e9b9ce-0d67-4d42-b107-b9821f44dd60/MethylationProfiling/6d4c37e4-f784-4a1a-8ef8-966dfc9e7886/call-CpgPileup/HG00140.combined.bed.gz.tbi?generation=1777749767690968	3	MSMfnQ==	PTU7nI7tVoZ19O6i7FVijw==	CNi1nPupm5QDEAM=
